date,model,equity
2021-03-01,EQUAL_WEIGHT,1.8013279639314443
2021-03-02,EQUAL_WEIGHT,1.7700823725781683
2021-03-03,EQUAL_WEIGHT,1.7526725558539429
2021-03-04,EQUAL_WEIGHT,1.7782271212125198
2021-03-05,EQUAL_WEIGHT,1.9007327712135
2021-03-08,EQUAL_WEIGHT,1.9756900000296898
2021-03-09,EQUAL_WEIGHT,1.9758700758554866
2021-03-10,EQUAL_WEIGHT,2.00444732785713
2021-03-11,EQUAL_WEIGHT,2.0107958075765997
2021-03-12,EQUAL_WEIGHT,2.025696869833408
2021-03-15,EQUAL_WEIGHT,2.0278584113906475
2021-03-16,EQUAL_WEIGHT,2.038996729118229
2021-03-17,EQUAL_WEIGHT,1.999849967756323
2021-03-18,EQUAL_WEIGHT,2.0062393774555094
2021-03-19,EQUAL_WEIGHT,1.9805509519130653
2021-03-22,EQUAL_WEIGHT,1.9648187962230068
2021-03-23,EQUAL_WEIGHT,1.940543147410727
2021-03-24,EQUAL_WEIGHT,1.940266066252696
2021-03-25,EQUAL_WEIGHT,1.953806769098222
2021-03-26,EQUAL_WEIGHT,1.958325009234476
2021-03-29,EQUAL_WEIGHT,1.9666484426149937
2021-03-30,EQUAL_WEIGHT,1.9845708837969556
2021-03-31,EQUAL_WEIGHT,2.0082507168355526
2021-04-01,EQUAL_WEIGHT,2.041999715860742
2021-04-05,EQUAL_WEIGHT,2.032288341926125
2021-04-06,EQUAL_WEIGHT,2.034977322046497
2021-04-07,EQUAL_WEIGHT,2.0402520292379758
2021-04-08,EQUAL_WEIGHT,2.0405269516191864
2021-04-09,EQUAL_WEIGHT,2.037548180570462
2021-04-12,EQUAL_WEIGHT,2.06037452096189
2021-04-13,EQUAL_WEIGHT,2.043358750473035
2021-04-14,EQUAL_WEIGHT,2.0864767319557638
2021-04-15,EQUAL_WEIGHT,2.0782187495942077
2021-04-16,EQUAL_WEIGHT,2.0768468545213428
2021-04-19,EQUAL_WEIGHT,2.0561801820568077
2021-04-20,EQUAL_WEIGHT,2.0799251775126004
2021-04-21,EQUAL_WEIGHT,2.0472443239133478
2021-04-22,EQUAL_WEIGHT,2.076955497283887
2021-04-23,EQUAL_WEIGHT,2.12583792897623
2021-04-26,EQUAL_WEIGHT,2.1167371429295287
2021-04-27,EQUAL_WEIGHT,2.1172446828169917
2021-04-28,EQUAL_WEIGHT,2.123300135568176
2021-04-29,EQUAL_WEIGHT,2.110070919111288
2021-04-30,EQUAL_WEIGHT,2.085342884007606
2021-05-03,EQUAL_WEIGHT,2.0566301488746737
2021-05-04,EQUAL_WEIGHT,2.05131055942818
2021-05-05,EQUAL_WEIGHT,2.0654111734660905
2021-05-06,EQUAL_WEIGHT,2.085816676240919
2021-05-07,EQUAL_WEIGHT,2.0320236196528683
2021-05-10,EQUAL_WEIGHT,2.024422996510306
2021-05-11,EQUAL_WEIGHT,1.9868969177962126
2021-05-12,EQUAL_WEIGHT,2.078259312509228
2021-05-13,EQUAL_WEIGHT,2.116653780170169
2021-05-14,EQUAL_WEIGHT,2.1110165024830696
2021-05-17,EQUAL_WEIGHT,2.09633239478522
2021-05-18,EQUAL_WEIGHT,2.0703270166130032
2021-05-19,EQUAL_WEIGHT,2.098822035161477
2021-05-20,EQUAL_WEIGHT,2.102551822110814
2021-05-21,EQUAL_WEIGHT,2.7688794177458838
2021-05-24,EQUAL_WEIGHT,2.862831114129387
2021-05-25,EQUAL_WEIGHT,2.8713965969568647
2021-05-26,EQUAL_WEIGHT,2.8709112695356835
2021-05-27,EQUAL_WEIGHT,2.8751792069257287
2021-05-28,EQUAL_WEIGHT,2.873969831969133
2021-06-01,EQUAL_WEIGHT,2.87588837487619
2021-06-02,EQUAL_WEIGHT,2.854722844180195
2021-06-03,EQUAL_WEIGHT,2.8845940605438685
2021-06-04,EQUAL_WEIGHT,2.938519303773135
2021-06-07,EQUAL_WEIGHT,2.9386594489331666
2021-06-08,EQUAL_WEIGHT,2.9330077691213217
2021-06-09,EQUAL_WEIGHT,2.892628755579726
2021-06-10,EQUAL_WEIGHT,2.897618623368322
2021-06-11,EQUAL_WEIGHT,2.915818786470252
2021-06-14,EQUAL_WEIGHT,2.891170883098264
2021-06-15,EQUAL_WEIGHT,2.874068191862369
2021-06-16,EQUAL_WEIGHT,2.9153390481743315
2021-06-17,EQUAL_WEIGHT,2.8796406475283547
2021-06-18,EQUAL_WEIGHT,2.8726174350179097
2021-06-21,EQUAL_WEIGHT,2.926589118913287
2021-06-22,EQUAL_WEIGHT,2.939562386232351
2021-06-23,EQUAL_WEIGHT,2.9420967985494126
2021-06-24,EQUAL_WEIGHT,2.9249357776336384
2021-06-25,EQUAL_WEIGHT,2.9804002399418428
2021-06-28,EQUAL_WEIGHT,2.969334825770205
2021-06-29,EQUAL_WEIGHT,2.9742092899994144
2021-06-30,EQUAL_WEIGHT,2.968588262529959
2021-07-01,EQUAL_WEIGHT,2.9854465331258204
2021-07-02,EQUAL_WEIGHT,2.979138000273711
2021-07-06,EQUAL_WEIGHT,2.9597933061009503
2021-07-07,EQUAL_WEIGHT,2.941906112046815
2021-07-08,EQUAL_WEIGHT,2.956610118301113
2021-07-09,EQUAL_WEIGHT,2.961755351306879
2021-07-12,EQUAL_WEIGHT,2.923293966985173
2021-07-13,EQUAL_WEIGHT,2.876466914526101
2021-07-14,EQUAL_WEIGHT,2.8572188466622617
2021-07-15,EQUAL_WEIGHT,2.8311106829124
2021-07-16,EQUAL_WEIGHT,2.806528863552467
2021-07-19,EQUAL_WEIGHT,2.8666245064527507
2021-07-20,EQUAL_WEIGHT,2.8900151554939337
2021-07-21,EQUAL_WEIGHT,2.894329048592341
2021-07-22,EQUAL_WEIGHT,2.9252485140658
2021-07-23,EQUAL_WEIGHT,2.958265791798197
2021-07-26,EQUAL_WEIGHT,2.915350450165753
2021-07-27,EQUAL_WEIGHT,2.9177347728974676
2021-07-28,EQUAL_WEIGHT,2.9152433075951283
2021-07-29,EQUAL_WEIGHT,2.8801465464989837
2021-07-30,EQUAL_WEIGHT,2.8717944379641502
2021-08-02,EQUAL_WEIGHT,2.8727675426179613
2021-08-03,EQUAL_WEIGHT,2.8612761263601243
2021-08-04,EQUAL_WEIGHT,2.8846022527515736
2021-08-05,EQUAL_WEIGHT,2.8796327554392116
2021-08-06,EQUAL_WEIGHT,2.9013377153502464
2021-08-09,EQUAL_WEIGHT,2.879429645898245
2021-08-10,EQUAL_WEIGHT,2.8729623828378363
2021-08-11,EQUAL_WEIGHT,2.9075660133726022
2021-08-12,EQUAL_WEIGHT,2.915633541442582
2021-08-13,EQUAL_WEIGHT,2.9316440344584818
2021-08-16,EQUAL_WEIGHT,2.9106731397632273
2021-08-17,EQUAL_WEIGHT,2.8776765478486133
2021-08-18,EQUAL_WEIGHT,2.8678510637466923
2021-08-19,EQUAL_WEIGHT,2.9138314609204703
2021-08-20,EQUAL_WEIGHT,2.976365269863941
2021-08-23,EQUAL_WEIGHT,3.0621900917225253
2021-08-24,EQUAL_WEIGHT,3.0717520578960475
2021-08-25,EQUAL_WEIGHT,3.057674773119654
2021-08-26,EQUAL_WEIGHT,3.0883302460027067
2021-08-27,EQUAL_WEIGHT,3.1341099315816976
2021-08-30,EQUAL_WEIGHT,3.160895633005833
2021-08-31,EQUAL_WEIGHT,3.1420383585216656
2021-09-01,EQUAL_WEIGHT,3.1443352025489544
2021-09-02,EQUAL_WEIGHT,3.1367566044054485
2021-09-03,EQUAL_WEIGHT,3.1644404545591587
2021-09-07,EQUAL_WEIGHT,3.148525043454845
2021-09-08,EQUAL_WEIGHT,3.144856054529249
2021-09-09,EQUAL_WEIGHT,3.112588627486411
2021-09-10,EQUAL_WEIGHT,3.148432022742202
2021-09-13,EQUAL_WEIGHT,3.1139807368388976
2021-09-14,EQUAL_WEIGHT,3.1424164379799793
2021-09-15,EQUAL_WEIGHT,3.1373816960642826
2021-09-16,EQUAL_WEIGHT,3.098613747559031
2021-09-17,EQUAL_WEIGHT,2.9913092764726117
